   16     7     1  1.6e-13 1.8e-13 2.1e-13 2.5e-13 3.5e-13 4.7e-13 6.5e-13 9.2e-13 1.1e-12 1.5e-12 1.7e-12 2.1e-12 2.3e-12 3.0e-12
   17     7     2  1.1e-12 1.4e-12 1.7e-12 2.0e-12 2.7e-12 3.6e-12 5.3e-12 8.1e-12 1.1e-11 1.5e-11 1.9e-11 2.4e-11 2.6e-11 3.4e-11
   18     7     3  6.4e-12 6.5e-12 6.6e-12 6.8e-12 7.3e-12 7.9e-12 8.7e-12 9.8e-12 1.1e-11 1.3e-11 1.5e-11 1.8e-11 2.0e-11 2.4e-11
   19     7     4  1.4e-11 1.8e-11 2.1e-11 2.2e-11 2.4e-11 2.7e-11 3.1e-11 3.6e-11 4.1e-11 4.8e-11 5.3e-11 6.1e-11 6.5e-11 7.5e-11
   20     7     5  7.9e-11 8.2e-11 7.9e-11 7.6e-11 7.2e-11 7.0e-11 6.9e-11 6.8e-11 7.1e-11 7.4e-11 7.8e-11 9.2e-11 9.9e-11 1.2e-10
   21     7     6  5.1e-11 7.2e-11 7.9e-11 7.8e-11 7.6e-11 7.6e-11 7.9e-11 8.1e-11 8.3e-11 8.9e-11 9.3e-11 9.2e-11 9.1e-11 9.0e-11
   22     8     1  2.7e-14 4.3e-14 6.3e-14 8.5e-14 1.5e-13 2.6e-13 4.8e-13 9.6e-13 1.5e-12 2.5e-12 3.4e-12 4.8e-12 5.6e-12 7.9e-12
   23     8     2  3.5e-13 4.0e-13 4.7e-13 5.3e-13 7.1e-13 9.1e-13 1.2e-12 1.8e-12 2.2e-12 3.0e-12 3.7e-12 4.5e-12 5.0e-12 6.4e-12
   24     8     3  1.7e-12 2.1e-12 2.6e-12 3.1e-12 4.0e-12 5.1e-12 7.0e-12 1.0e-11 1.3e-11 1.9e-11 2.3e-11 2.9e-11 3.2e-11 4.2e-11
   25     8     4  7.8e-12 8.2e-12 8.4e-12 8.6e-12 9.0e-12 9.5e-12 1.0e-11 1.1e-11 1.2e-11 1.4e-11 1.6e-11 2.0e-11 2.2e-11 2.7e-11
   26     8     5  1.6e-11 2.0e-11 2.4e-11 2.6e-11 2.8e-11 3.1e-11 3.4e-11 4.0e-11 4.4e-11 5.1e-11 5.6e-11 6.4e-11 6.8e-11 7.9e-11
   27     8     6  7.6e-11 8.3e-11 8.3e-11 8.1e-11 7.7e-11 7.4e-11 7.4e-11 7.2e-11 7.3e-11 7.7e-11 8.0e-11 9.5e-11 1.0e-10 1.2e-10
   28     8     7  3.6e-11 5.9e-11 7.3e-11 7.6e-11 7.7e-11 7.7e-11 7.7e-11 8.1e-11 8.4e-11 8.9e-11 9.3e-11 9.2e-11 9.1e-11 9.0e-11
   29     9     1  3.0e-14 3.1e-14 3.6e-14 4.3e-14 6.1e-14 8.8e-14 1.4e-13 2.5e-13 3.8e-13 6.1e-13 8.0e-13 1.1e-12 1.3e-12 1.8e-12
   30     9     2  9.5e-14 1.2e-13 1.6e-13 2.1e-13 3.4e-13 5.4e-13 9.5e-13 1.8e-12 2.9e-12 4.9e-12 6.8e-12 9.5e-12 1.1e-11 1.6e-11
   31     9     3  7.8e-13 7.4e-13 7.8e-13 8.5e-13 1.0e-12 1.3e-12 1.7e-12 2.3e-12 2.8e-12 3.8e-12 4.7e-12 5.8e-12 6.4e-12 8.2e-12
   32     9     4  3.6e-12 3.6e-12 4.0e-12 4.5e-12 5.5e-12 6.7e-12 8.8e-12 1.2e-11 1.5e-11 2.1e-11 2.5e-11 3.2e-11 3.6e-11 4.6e-11
   33     9     5  1.2e-11 1.1e-11 1.1e-11 1.1e-11 1.1e-11 1.1e-11 1.2e-11 1.3e-11 1.3e-11 1.5e-11 1.7e-11 2.1e-11 2.3e-11 2.9e-11
   34     9     6  2.7e-11 2.7e-11 2.9e-11 3.1e-11 3.3e-11 3.5e-11 3.9e-11 4.3e-11 4.8e-11 5.4e-11 5.9e-11 6.7e-11 7.1e-11 8.2e-11
   35     9     7  1.0e-10 9.5e-11 9.2e-11 8.8e-11 8.3e-11 7.9e-11 7.6e-11 7.6e-11 7.5e-11 7.9e-11 8.2e-11 9.7e-11 1.0e-10 1.2e-10
   36     9     8  4.5e-11 5.9e-11 7.3e-11 7.7e-11 7.9e-11 8.0e-11 8.3e-11 8.3e-11 8.7e-11 9.1e-11 9.5e-11 9.4e-11 9.3e-11 9.2e-11
   37    10     1  7.4e-15 8.6e-15 1.1e-14 1.3e-14 2.2e-14 3.9e-14 8.2e-14 2.0e-13 3.6e-13 7.5e-13 1.1e-12 1.8e-12 2.1e-12 3.4e-12
   38    10     2  7.8e-14 7.9e-14 8.8e-14 1.0e-13 1.4e-13 1.9e-13 2.9e-13 5.2e-13 7.8e-13 1.3e-12 1.8e-12 2.4e-12 2.8e-12 4.0e-12
   39    10     3  2.3e-13 2.6e-13 3.2e-13 3.9e-13 5.8e-13 8.4e-13 1.4e-12 2.4e-12 3.7e-12 6.2e-12 8.5e-12 1.2e-11 1.4e-11 2.0e-11
   40    10     4  1.1e-12 1.1e-12 1.1e-12 1.2e-12 1.4e-12 1.7e-12 2.1e-12 2.7e-12 3.3e-12 4.4e-12 5.4e-12 6.6e-12 7.2e-12 9.2e-12
   41    10     5  5.3e-12 5.2e-12 5.6e-12 6.1e-12 7.2e-12 8.5e-12 1.1e-11 1.4e-11 1.7e-11 2.3e-11 2.7e-11 3.4e-11 3.8e-11 5.0e-11
   42    10     6  1.3e-11 1.3e-11 1.2e-11 1.2e-11 1.2e-11 1.3e-11 1.3e-11 1.3e-11 1.4e-11 1.6e-11 1.8e-11 2.2e-11 2.4e-11 3.0e-11
   43    10     7  3.2e-11 3.2e-11 3.4e-11 3.5e-11 3.7e-11 3.9e-11 4.2e-11 4.7e-11 5.1e-11 5.6e-11 6.1e-11 6.9e-11 7.4e-11 8.5e-11
   44    10     8  9.2e-11 9.4e-11 9.4e-11 9.1e-11 8.6e-11 8.3e-11 8.0e-11 7.7e-11 7.8e-11 8.1e-11 8.4e-11 9.9e-11 1.1e-10 1.3e-10
   45    10     9  5.3e-11 6.1e-11 7.2e-11 7.6e-11 7.9e-11 7.9e-11 8.1e-11 8.5e-11 8.6e-11 9.1e-11 9.5e-11 9.4e-11 9.4e-11 9.2e-11
   46    11     1  8.3e-15 9.0e-15 9.9e-15 1.1e-14 1.6e-14 2.2e-14 3.8e-14 7.7e-14 1.3e-13 2.7e-13 4.1e-13 6.3e-13 7.7e-13 1.2e-12
   47    11     2  1.6e-14 2.0e-14 2.6e-14 3.3e-14 5.3e-14 8.7e-14 1.7e-13 4.0e-13 7.2e-13 1.5e-12 2.3e-12 3.6e-12 4.3e-12 6.9e-12
   48    11     3  1.0e-13 1.1e-13 1.3e-13 1.5e-13 2.0e-13 2.6e-13 4.0e-13 6.8e-13 1.0e-12 1.7e-12 2.4e-12 3.2e-12 3.6e-12 5.1e-12
   49    11     4  4.0e-13 4.6e-13 5.4e-13 6.4e-13 8.8e-13 1.2e-12 1.8e-12 3.1e-12 4.4e-12 7.2e-12 9.7e-12 1.3e-11 1.5e-11 2.2e-11
   50    11     5  1.2e-12 1.3e-12 1.4e-12 1.5e-12 1.7e-12 2.0e-12 2.4e-12 3.1e-12 3.7e-12 4.8e-12 5.8e-12 7.0e-12 7.8e-12 9.9e-12
   51    11     6  5.8e-12 6.3e-12 6.7e-12 7.2e-12 8.5e-12 9.9e-12 1.2e-11 1.6e-11 1.9e-11 2.5e-11 2.9e-11 3.6e-11 4.1e-11 5.3e-11
   52    11     7  1.2e-11 1.3e-11 1.3e-11 1.3e-11 1.3e-11 1.3e-11 1.3e-11 1.4e-11 1.5e-11 1.6e-11 1.9e-11 2.2e-11 2.4e-11 3.1e-11
   53    11     8  2.9e-11 3.2e-11 3.4e-11 3.6e-11 3.8e-11 4.1e-11 4.4e-11 4.9e-11 5.3e-11 5.9e-11 6.3e-11 7.1e-11 7.5e-11 8.8e-11
   54    11     9  7.3e-11 8.3e-11 8.6e-11 8.5e-11 8.1e-11 7.9e-11 7.6e-11 7.5e-11 7.6e-11 8.0e-11 8.4e-11 9.8e-11 1.1e-10 1.3e-10
   55    11    10  4.9e-11 6.0e-11 7.2e-11 7.7e-11 8.1e-11 8.3e-11 8.5e-11 8.7e-11 8.9e-11 9.3e-11 9.7e-11 9.6e-11 9.5e-11 9.4e-11
   56    12     1  2.5e-15 2.8e-15 3.3e-15 3.9e-15 5.6e-15 8.9e-15 1.8e-14 4.7e-14 9.6e-14 2.3e-13 4.0e-13 6.8e-13 8.6e-13 1.5e-12
   57    12     2  2.1e-14 2.3e-14 2.5e-14 2.8e-14 3.7e-14 5.1e-14 8.1e-14 1.6e-13 2.8e-13 5.8e-13 9.2e-13 1.4e-12 1.7e-12 2.7e-12
   58    12     3  4.0e-14 4.7e-14 5.7e-14 6.6e-14 9.6e-14 1.4e-13 2.6e-13 5.6e-13 9.6e-13 1.9e-12 3.0e-12 4.5e-12 5.5e-12 8.8e-12
   59    12     4  1.6e-13 1.8e-13 2.0e-13 2.2e-13 2.8e-13 3.6e-13 5.2e-13 8.4e-13 1.2e-12 2.0e-12 2.7e-12 3.6e-12 4.2e-12 5.9e-12
   60    12     5  8.4e-13 9.0e-13 9.8e-13 1.1e-12 1.3e-12 1.7e-12 2.4e-12 3.7e-12 5.2e-12 8.1e-12 1.1e-11 1.5e-11 1.7e-11 2.5e-11
   61    12     6  1.5e-12 1.5e-12 1.7e-12 1.8e-12 2.1e-12 2.4e-12 2.8e-12 3.4e-12 4.0e-12 5.1e-12 6.2e-12 7.5e-12 8.2e-12 1.0e-11
   62    12     7  9.0e-12 9.5e-12 9.9e-12 1.0e-11 1.1e-11 1.3e-11 1.5e-11 1.8e-11 2.1e-11 2.7e-11 3.1e-11 3.9e-11 4.3e-11 5.6e-11
   63    12     8  9.9e-12 1.1e-11 1.2e-11 1.2e-11 1.3e-11 1.3e-11 1.4e-11 1.4e-11 1.5e-11 1.7e-11 1.9e-11 2.3e-11 2.5e-11 3.1e-11
